# Program:featureCounts v1.6.3; Command:"/usr/bin/featureCounts" "-p" "-g" "gene_id" "-a" "/scratch_tmp/grp/msc_appbio/group8/data/raw/ncbi_dataset/data/GCF_000146045.2/genomic.gtf" "-o" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166443/counts.txt" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166443/theAlignmentAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166443/theAlignmentAligned.sortedByCoord.out.bam
YBL034C	NC_001134.8	153848	158389	-	4542	1519
YBL033C	NC_001134.8	158656	159693	-	1038	7604
YBL032W	NC_001134.8	160184	161329	+	1146	3750
YBL031W	NC_001134.8	161699	162715	+	1017	1351
YBL030C	NC_001134.8	163041	163997	-	957	2614
YBL029C-A	NC_001134.8	164488	164772	-	285	1420
YBL029W	NC_001134.8	166134	167264	+	1131	5347
YBL028C	NC_001134.8	167518	167838	-	321	1456
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	32355
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	1920
YBL025W	NC_001134.8	171481	171918	+	438	1086
YBL024W	NC_001134.8	172534	174588	+	2055	4241
YBL023C	NC_001134.8	174920	177526	-	2607	2457
YBL022C	NC_001134.8	177874	181275	-	3402	6446
YBL021C	NC_001134.8	181660	182094	-	435	1323
YBL020W	NC_001134.8	182401	184125	+	1725	2997
YBL019W	NC_001134.8	184353	185915	+	1563	1746
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	1731
YBL017C	NC_001134.8	186844	191583	-	4740	8904
YBL016W	NC_001134.8	192451	193512	+	1062	3090
YBL015W	NC_001134.8	194122	195702	+	1581	4630
YNCB0004W	NC_001134.8	197494	197567	+	74	0
YNCB0005C	NC_001134.8	197629	197699	-	71	0
YBL014C	NC_001134.8	199064	201748	-	2685	2100
YBL013W	NC_001134.8	202056	203261	+	1206	415
YBL011W	NC_001134.8	203538	205817	+	2280	4694
YBL010C	NC_001134.8	206107	206949	-	843	1439
YBL009W	NC_001134.8	207194	209224	+	2031	1406
YBL008W-A	NC_001134.8	209409	209648	+	240	17
YBL008W	NC_001134.8	209653	212175	+	2523	1777
YBL007C	NC_001134.8	212632	216366	-	3735	8629
YBL006C	NC_001134.8	216587	217129	-	543	2808
YBL005W	NC_001134.8	217470	220400	+	2931	3483
YBL005W-B	NC_001134.8	221330	226598	+	5269	476
YBL005W-A	NC_001134.8	221330	222652	+	1323	0
YNCB0006W	NC_001134.8	227075	227156	+	82	1
YBL004W	NC_001134.8	227636	235117	+	7482	2361
YBL003C	NC_001134.8	235394	235792	-	399	22157
YBL002W	NC_001134.8	236492	236887	+	396	22483
YBL001C	NC_001134.8	237153	237467	-	315	7958
YBR001C	NC_001134.8	238941	241283	-	2343	4044
YBR002C	NC_001134.8	241708	242568	-	861	3475
YBR003W	NC_001134.8	242809	244230	+	1422	3904
YBR004C	NC_001134.8	244366	245667	-	1302	1684
YBR005W	NC_001134.8	245906	246547	+	642	2063
YBR006W	NC_001134.8	247010	248503	+	1494	5015
YBR007C	NC_001134.8	248806	251016	-	2211	5151
YBR008C	NC_001134.8	252563	254209	-	1647	3145
YBR009C	NC_001134.8	255373	255684	-	312	30661
YBR010W	NC_001134.8	256331	256741	+	411	32288
YBR011C	NC_001134.8	257112	257975	-	864	63170
YBR012W-B	NC_001134.8	259869	265140	+	5272	309
YBR012W-A	NC_001134.8	259869	261191	+	1323	0
YBR013C	NC_001134.8	265492	265881	-	390	1044
YNCB0007W	NC_001134.8	266378	266450	+	73	1
YBR014C	NC_001134.8	266725	267336	-	612	3054
YBR015C	NC_001134.8	267710	269503	-	1794	4300
YBR016W	NC_001134.8	270247	270633	+	387	3513
YBR017C	NC_001134.8	270947	273703	-	2757	4882
YBR018C	NC_001134.8	274427	275527	-	1101	742
YBR019C	NC_001134.8	276253	278352	-	2100	559
YNCB0008W	NC_001134.8	276805	280645	+	3841	254
YBR020W	NC_001134.8	279021	280607	+	1587	0
YBR021W	NC_001134.8	281443	283344	+	1902	1596
YBR022W	NC_001134.8	283738	284271	+	534	1803
YBR023C	NC_001134.8	284428	287925	-	3498	4372
YBR024W	NC_001134.8	289445	290350	+	906	1764
YBR025C	NC_001134.8	290681	291865	-	1185	16570
YBR026C	NC_001134.8	292877	294019	-	1143	5116
YBR027C	NC_001134.8	294024	294356	-	333	133
YBR028C	NC_001134.8	294425	296002	-	1578	3498
YBR029C	NC_001134.8	296369	297742	-	1374	2593
YBR030W	NC_001134.8	298292	299950	+	1659	2100
YBR031W	NC_001134.8	300166	301254	+	1089	11170
YBR032W	NC_001134.8	301519	301821	+	303	138
YBR033W	NC_001134.8	301944	304703	+	2760	1828
YBR034C	NC_001134.8	304930	305976	-	1047	6411
YBR035C	NC_001134.8	306269	306955	-	687	10094
YNCB0009C	NC_001134.8	307185	307345	-	161	48
YNCB0010W	NC_001134.8	307587	308887	+	1301	3655
YBR036C	NC_001134.8	309081	310313	-	1233	7853
YBR037C	NC_001134.8	310565	311452	-	888	2237
YBR038W	NC_001134.8	311898	314789	+	2892	2983
YBR039W	NC_001134.8	315575	316510	+	936	6893
YBR040W	NC_001134.8	316968	317864	+	897	570
YBR041W	NC_001134.8	318266	320275	+	2010	3303
YBR042C	NC_001134.8	320416	321609	-	1194	3087
YBR043C	NC_001134.8	321876	323945	-	2070	5696
YBR044C	NC_001134.8	324341	326059	-	1719	2604
YNCB0011C	NC_001134.8	326792	326865	-	74	0
YBR045C	NC_001134.8	328173	330092	-	1920	1286
YBR046C	NC_001134.8	330507	331511	-	1005	3951
YBR047W	NC_001134.8	331833	332360	+	528	2867
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	12629
YBR049C	NC_001134.8	334386	336818	-	2433	4891
YBR050C	NC_001134.8	337183	338199	-	1017	302
YBR052C	NC_001134.8	338720	339352	-	633	6041
YBR053C	NC_001134.8	339675	340751	-	1077	4350
YBR054W	NC_001134.8	343101	344135	+	1035	14079
YBR055C	NC_001134.8	344602	347301	-	2700	3776
YNCB0012W	NC_001134.8	347603	347686	+	84	1
YBR056W	NC_001134.8	347879	349384	+	1506	6296
YNCB0013W	NC_001134.8	350827	350898	+	72	1
YBR056W-A	NC_001134.8	351255	351455	+	201	481
YBR057C	NC_001134.8	352193	353293	-	1101	3551
YBR058C	NC_001134.8	353672	356017	-	2346	3323
YBR058C-A	NC_001134.8	356324	356566	-	243	4842
YBR059C	NC_001134.8	356861	360187	-	3327	5405
YBR060C	NC_001134.8	360652	362514	-	1863	2023
YBR061C	NC_001134.8	364787	365719	-	933	2044
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	1704
YBR063C	NC_001134.8	366970	368184	-	1215	2283
YBR065C	NC_001134.8	368584	369678	-	1095	1726
YBR066C	NC_001134.8	370037	370699	-	663	15563
YBR067C	NC_001134.8	372103	372735	-	633	128880
YBR068C	NC_001134.8	373861	375690	-	1830	26723
YBR069C	NC_001134.8	376574	378433	-	1860	87
YNCB0014W	NC_001134.8	376610	378633	+	2024	216
YBR070C	NC_001134.8	379221	379934	-	714	1410
YBR071W	NC_001134.8	380411	381046	+	636	4235
YBR072W	NC_001134.8	382030	382674	+	645	42591
YBR072C-A	NC_001134.8	382860	383021	-	162	22
YBR073W	NC_001134.8	383112	385988	+	2877	3997
YBR074W	NC_001134.8	386286	389216	+	2931	2764
YBR076W	NC_001134.8	390227	391291	+	1065	992
YBR077C	NC_001134.8	391805	392293	-	489	3137
YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	24953
YBR079C	NC_001134.8	395383	398277	-	2895	12336
YBR080C	NC_001134.8	398614	400890	-	2277	5430
YBR081C	NC_001134.8	401253	405251	-	3999	3309
YNCB0015W	NC_001134.8	405878	405949	+	72	2
YNCB0016W	NC_001134.8	405960	406031	+	72	0
YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	18197
YBR083W	NC_001134.8	409169	410629	+	1461	2814
YBR084W	NC_001134.8	411054	413981	+	2928	3533
YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	27225
YBR085W	NC_001134.8	415983	416906	+	924	4096
YBR085C-A	NC_001134.8	418907	419164	-	258	10992
YBR086C	NC_001134.8	420201	423041	-	2841	5615
YBR087W	NC_001134.8	423765	424829	+	1065	1785
YBR088C	NC_001134.8	424990	425766	-	777	3384
YBR089C-A	NC_001134.8	426190	426489	-	300	2403
YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	79
YBR091C	NC_001134.8	427155	427484	-	330	860
YBR092C	NC_001134.8	427698	429101	-	1404	38647
YBR093C	NC_001134.8	429548	430951	-	1404	3471
YBR094W	NC_001134.8	432036	434297	+	2262	2429
YBR095C	NC_001134.8	434406	435698	-	1293	2348
YBR096W	NC_001134.8	436021	436713	+	693	2646
YBR097W	NC_001134.8	436951	441315	+	4365	1205
YBR098W	NC_001134.8	441515	443590	+	2076	1354
YBR101C	NC_001134.8	443821	444693	-	873	4477
YBR102C	NC_001134.8	445062	447323	-	2262	3202
YBR103W	NC_001134.8	447709	449316	+	1608	4078
YBR104W	NC_001134.8	449667	450656	+	990	6666
YBR105C	NC_001134.8	450881	451969	-	1089	9652
YBR106W	NC_001134.8	452658	453224	+	567	14288
YBR107C	NC_001134.8	453793	454530	-	738	1561
YBR108W	NC_001134.8	454822	457665	+	2844	1809
YBR109C	NC_001134.8	457919	458362	-	444	8784
YBR110W	NC_001134.8	458872	460221	+	1350	3468
YBR111C	NC_001134.8	461178	461873	-	696	7863
YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	1787
YBR112C	NC_001134.8	462870	465770	-	2901	5138
YBR114W	NC_001134.8	467248	469620	+	2373	2803
YBR115C	NC_001134.8	469748	473926	-	4179	7
YBR117C	NC_001134.8	474392	476437	-	2046	2334
YBR118W	NC_001134.8	477671	479047	+	1377	24754
YBR119W	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	2155
YBR120C	NC_001134.8	480435	480923	-	489	681
YBR121C	NC_001134.8	481364	483367	-	2004	14378
YBR122C	NC_001134.8	483970	484503	-	534	3193
YBR123C	NC_001134.8	484742	486691	-	1950	2670
YBR125C	NC_001134.8	487199	488380	-	1182	2735
YBR126C	NC_001134.8	488905	490392	-	1488	15264
YBR126W-A	NC_001134.8	490850	491056	+	207	4923
YBR127C	NC_001134.8	491269	492822	-	1554	34242
YBR128C	NC_001134.8	493081	494115	-	1035	1142
YBR129C	NC_001134.8	494353	495339	-	987	3848
YBR130C	NC_001134.8	495592	496869	-	1278	3295
YBR131W	NC_001134.8	497163	499277	+	2115	1738
YBR132C	NC_001134.8	499652	501442	-	1791	2514
YBR133C	NC_001134.8	501804	504287	-	2484	3494
YBR135W	NC_001134.8	504854	505306	+	453	2036
YBR136W	NC_001134.8	505668	512774	+	7107	943
YBR137W	NC_001134.8	513044	513583	+	540	2781
YBR138C	NC_001134.8	513762	515336	-	1575	1526
YBR139W	NC_001134.8	515664	517190	+	1527	4175
YBR140C	NC_001134.8	517350	526628	-	9279	2842
YBR141C	NC_001134.8	527025	528038	-	1014	1495
YBR142W	NC_001134.8	528317	530638	+	2322	2037
YBR143C	NC_001134.8	530869	532182	-	1314	11820
YBR144C	NC_001134.8	533235	533549	-	315	43
YBR145W	NC_001134.8	533762	534817	+	1056	14709
YBR146W	NC_001134.8	535260	536096	+	837	3134
YBR147W	NC_001134.8	536575	537465	+	891	3331
YBR148W	NC_001134.8	537876	539705	+	1830	1203
YBR149W	NC_001134.8	539987	541021	+	1035	9566
YBR150C	NC_001134.8	541209	544493	-	3285	1825
YBR151W	NC_001134.8	545028	545978	+	951	5353
YBR152W	NC_001134.8	546376	547251	+	876	746
YBR153W	NC_001134.8	547460	548194	+	735	1874
YBR154C	NC_001134.8	548362	549009	-	648	4049
YBR155W	NC_001134.8	549771	550928	+	1158	2575
YBR156C	NC_001134.8	551104	553200	-	2097	1369
YBR157C	NC_001134.8	553543	554310	-	768	8904
YBR158W	NC_001134.8	556549	558198	+	1650	16841
YBR159W	NC_001134.8	558685	559728	+	1044	5293
YBR160W	NC_001134.8	560078	560974	+	897	2561
YBR161W	NC_001134.8	561634	562764	+	1131	2824
YBR162C	NC_001134.8	563203	564570	-	1368	21713
YBR162W-A	NC_001134.8	565231	565428	+	198	3244
YBR163W	NC_001134.8	565723	567480	+	1758	2335
YBR164C	NC_001134.8	567875	568426	-	552	2949
YBR165W	NC_001134.8	568852	569685	+	834	2256
YBR166C	NC_001134.8	569842	571200	-	1359	3816
YBR167C	NC_001134.8	571468	571890	-	423	1031
YBR168W	NC_001134.8	572371	573612	+	1242	1316
YBR169C	NC_001134.8	573915	575996	-	2082	3725
YBR170C	NC_001134.8	576344	578086	-	1743	3308
YBR171W	NC_001134.8	578364	578984	+	621	3734
YBR172C	NC_001134.8	579150	581372	-	2223	4194
YBR173C	NC_001134.8	581726	582172	-	447	4400
YBR175W	NC_001134.8	582408	583355	+	948	2326
YBR176W	NC_001134.8	583720	584658	+	939	1741
YBR177C	NC_001134.8	584807	586162	-	1356	3053
YBR179C	NC_001134.8	586547	589114	-	2568	2763
YBR180W	NC_001134.8	589741	591459	+	1719	704
YBR181C	NC_001134.8;NC_001134.8	591712;592769	592416;592774	-;-	711	6762
YBR182C	NC_001134.8	593506	594864	-	1359	811
YBR182C-A	NC_001134.8	595361	595555	-	195	59
YBR183W	NC_001134.8	596115	597065	+	951	290
YBR184W	NC_001134.8	597363	598934	+	1572	496
YBR185C	NC_001134.8	599123	599959	-	837	1245
YBR186W	NC_001134.8;NC_001134.8	600553;602217	602103;602360	+;+	1695	516
YBR187W	NC_001134.8	602634	603476	+	843	4241
YBR188C	NC_001134.8	603685	604107	-	423	1114
YBR189W	NC_001134.8;NC_001134.8	604508;604928	604514;605508	+;+	588	28278
YBR191W	NC_001134.8;NC_001134.8	606270;606669	606280;607140	+;+	483	21298
YBR192W	NC_001134.8	607652	608785	+	1134	2197
YBR193C	NC_001134.8	609082	609753	-	672	1726
YBR194W	NC_001134.8	610038	610409	+	372	596
YBR195C	NC_001134.8	610614	611882	-	1269	4151
YBR196C	NC_001134.8	612236	613900	-	1665	55969
YBR196C-A	NC_001134.8	614024	614173	-	150	48
YBR196C-B	NC_001134.8	614526	614630	-	105	131
YBR197C	NC_001134.8	615203	615856	-	654	2146
YBR198C	NC_001134.8	616127	618523	-	2397	4635
YBR199W	NC_001134.8	618909	620303	+	1395	9501
YBR200W	NC_001134.8	620872	622527	+	1656	3608
YBR200W-A	NC_001134.8	622983	623147	+	165	298
YBR201W	NC_001134.8	623576	624211	+	636	1909
YBR201C-A	NC_001134.8	624493	624696	-	204	5087
YBR202W	NC_001134.8	625772	628309	+	2538	6681
YBR203W	NC_001134.8	629168	631942	+	2775	1682
YBR204C	NC_001134.8	632254	633381	-	1128	2726
YBR205W	NC_001134.8	633622	634836	+	1215	3009
YBR207W	NC_001134.8	635146	636543	+	1398	4704
YBR208C	NC_001134.8	636703	642210	-	5508	3605
YBR209W	NC_001134.8	642583	642900	+	318	385
YNCB0017C	NC_001134.8	643007	643078	-	72	8
YNCB0018W	NC_001134.8	645167	645238	+	72	1
YBR210W	NC_001134.8	645550	645978	+	429	1329
YBR211C	NC_001134.8	646158	647132	-	975	1257
YBR212W	NC_001134.8	647886	649904	+	2019	3945
YBR213W	NC_001134.8	650368	651192	+	825	4442
YBR214W	NC_001134.8	651415	652998	+	1584	6006
YBR215W	NC_001134.8;NC_001134.8	653356;653453	653368;655317	+;+	1878	2578
YBR216C	NC_001134.8	655576	657600	-	2025	2556
YBR217W	NC_001134.8	657832	658392	+	561	939
YBR218C	NC_001134.8	658707	662249	-	3543	14162
YBR219C	NC_001134.8;NC_001134.8	662499;663003	662581;663303	-;-	384	10
YBR220C	NC_001134.8	662995	664677	-	1683	1948
YBR221C	NC_001134.8	665153	666253	-	1101	23144
YBR221W-A	NC_001134.8	666538	666642	+	105	51
YBR222C	NC_001134.8	666720	668351	-	1632	6708
YBR223C	NC_001134.8	668663	670297	-	1635	1012
YBR225W	NC_001134.8	670627	673329	+	2703	1638
YBR227C	NC_001134.8	673572	675134	-	1563	2763
YBR228W	NC_001134.8	675313	676227	+	915	1693
YBR229C	NC_001134.8	676357	679221	-	2865	4246
YBR230C	NC_001134.8;NC_001134.8	679549;680040	679942;680050	-;-	405	1676
YBR230W-A	NC_001134.8	680362	680562	+	201	1410
YNCB0019C	NC_001134.8	680688	681862	-	1175	569
YBR231C	NC_001134.8	682179	683090	-	912	1780
YBR233W	NC_001134.8	683428	684669	+	1242	1164
YBR233W-A	NC_001134.8	684977	685261	+	285	858
YBR234C	NC_001134.8	685438	686592	-	1155	7776
