# Program:featureCounts v1.6.3; Command:"/usr/bin/featureCounts" "-p" "-g" "gene_id" "-a" "/scratch_tmp/grp/msc_appbio/group8/data/raw/ncbi_dataset/data/GCF_000146045.2/genomic.gtf" "-o" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166446/counts.txt" "/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166446/theAlignmentAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group8/output/alignment_SRR1166446/theAlignmentAligned.sortedByCoord.out.bam
YBL075C	NC_001134.8	84499	86448	-	1950	12476
YBL074C	NC_001134.8	86722	87789	-	1068	633
YNCB0003W	NC_001134.8	88190	88277	+	88	21
YBL072C	NC_001134.8	88523	89125	-	603	11046
YBL071C-B	NC_001134.8	89458	89556	-	99	51
YBL071W-A	NC_001134.8	89978	90226	+	249	700
YBL071C	NC_001134.8	90223	90531	-	309	578
YBL069W	NC_001134.8	90741	92030	+	1290	977
YBL068W	NC_001134.8	92414	93394	+	981	1763
YBL067C	NC_001134.8	93639	95882	-	2244	3528
YBL066C	NC_001134.8	96669	100115	-	3447	1900
YBL064C	NC_001134.8	100371	101156	-	786	23276
YBL063W	NC_001134.8	101886	105221	+	3336	863
YBL061C	NC_001134.8	105316	107406	-	2091	2615
YBL060W	NC_001134.8	107932	109995	+	2064	1763
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	1767
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	915
YBL058W	NC_001134.8	111437	112708	+	1272	8368
YBL057C	NC_001134.8	112801	113427	-	627	1580
YBL056W	NC_001134.8	113762	115168	+	1407	6125
YBL055C	NC_001134.8	115573	116829	-	1257	999
YBL054W	NC_001134.8	117589	119166	+	1578	1649
YBL052C	NC_001134.8	119379	121874	-	2496	2166
YBL051C	NC_001134.8	122753	124759	-	2007	2927
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	5741
YBL049W	NC_001134.8	126828	127244	+	417	4807
YBL048W	NC_001134.8	127299	127610	+	312	1668
YBL047C	NC_001134.8	127895	132040	-	4146	8018
YBL046W	NC_001134.8	132424	133749	+	1326	1970
YBL045C	NC_001134.8	134143	135516	-	1374	17534
YBL044W	NC_001134.8	135998	136366	+	369	11
YBL043W	NC_001134.8	136688	137461	+	774	2565
YBL042C	NC_001134.8	138341	140260	-	1920	7290
YBL041W	NC_001134.8	141247	141972	+	726	10764
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	3476
YBL039W-B	NC_001134.8	143393	143572	+	180	967
YBL039C	NC_001134.8	143989	145728	-	1740	3803
YBL038W	NC_001134.8	146187	146885	+	699	3872
YBL037W	NC_001134.8	147209	150286	+	3078	1838
YBL036C	NC_001134.8	150447	151220	-	774	3263
YBL035C	NC_001134.8	151493	153610	-	2118	1693
YBL034C	NC_001134.8	153848	158389	-	4542	1358
YBL033C	NC_001134.8	158656	159693	-	1038	9964
YBL032W	NC_001134.8	160184	161329	+	1146	2964
YBL031W	NC_001134.8	161699	162715	+	1017	889
YBL030C	NC_001134.8	163041	163997	-	957	11171
YBL029C-A	NC_001134.8	164488	164772	-	285	2201
YBL029W	NC_001134.8	166134	167264	+	1131	9043
YBL028C	NC_001134.8	167518	167838	-	321	1169
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	30912
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	2126
YBL025W	NC_001134.8	171481	171918	+	438	721
YBL024W	NC_001134.8	172534	174588	+	2055	3967
YBL023C	NC_001134.8	174920	177526	-	2607	2407
YBL022C	NC_001134.8	177874	181275	-	3402	6714
YBL021C	NC_001134.8	181660	182094	-	435	1191
YBL020W	NC_001134.8	182401	184125	+	1725	2816
YBL019W	NC_001134.8	184353	185915	+	1563	1956
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	1767
YBL017C	NC_001134.8	186844	191583	-	4740	7807
YBL016W	NC_001134.8	192451	193512	+	1062	2219
YBL015W	NC_001134.8	194122	195702	+	1581	10507
YNCB0004W	NC_001134.8	197494	197567	+	74	0
YNCB0005C	NC_001134.8	197629	197699	-	71	0
YBL014C	NC_001134.8	199064	201748	-	2685	1771
YBL013W	NC_001134.8	202056	203261	+	1206	334
YBL011W	NC_001134.8	203538	205817	+	2280	3782
YBL010C	NC_001134.8	206107	206949	-	843	1029
YBL009W	NC_001134.8	207194	209224	+	2031	1166
YBL008W-A	NC_001134.8	209409	209648	+	240	16
YBL008W	NC_001134.8	209653	212175	+	2523	1547
YBL007C	NC_001134.8	212632	216366	-	3735	8681
YBL006C	NC_001134.8	216587	217129	-	543	2353
YBL005W	NC_001134.8	217470	220400	+	2931	2359
YBL005W-B	NC_001134.8	221330	226598	+	5269	171
YBL005W-A	NC_001134.8	221330	222652	+	1323	0
YNCB0006W	NC_001134.8	227075	227156	+	82	8
YBL004W	NC_001134.8	227636	235117	+	7482	2814
YBL003C	NC_001134.8	235394	235792	-	399	12284
YBL002W	NC_001134.8	236492	236887	+	396	12780
YBL001C	NC_001134.8	237153	237467	-	315	9694
YBR001C	NC_001134.8	238941	241283	-	2343	3342
YBR002C	NC_001134.8	241708	242568	-	861	3405
YBR003W	NC_001134.8	242809	244230	+	1422	3242
YBR004C	NC_001134.8	244366	245667	-	1302	1238
YBR005W	NC_001134.8	245906	246547	+	642	2049
YBR006W	NC_001134.8	247010	248503	+	1494	4305
YBR007C	NC_001134.8	248806	251016	-	2211	3023
YBR008C	NC_001134.8	252563	254209	-	1647	1912
YBR009C	NC_001134.8	255373	255684	-	312	14965
YBR010W	NC_001134.8	256331	256741	+	411	28262
YBR011C	NC_001134.8	257112	257975	-	864	36019
YBR012W-B	NC_001134.8	259869	265140	+	5272	130
YBR012W-A	NC_001134.8	259869	261191	+	1323	0
YBR013C	NC_001134.8	265492	265881	-	390	1080
YNCB0007W	NC_001134.8	266378	266450	+	73	3
YBR014C	NC_001134.8	266725	267336	-	612	2762
YBR015C	NC_001134.8	267710	269503	-	1794	4377
YBR016W	NC_001134.8	270247	270633	+	387	2657
YBR017C	NC_001134.8	270947	273703	-	2757	4124
YBR018C	NC_001134.8	274427	275527	-	1101	592
YBR019C	NC_001134.8	276253	278352	-	2100	391
YNCB0008W	NC_001134.8	276805	280645	+	3841	227
YBR020W	NC_001134.8	279021	280607	+	1587	0
YBR021W	NC_001134.8	281443	283344	+	1902	3199
YBR022W	NC_001134.8	283738	284271	+	534	1990
YBR023C	NC_001134.8	284428	287925	-	3498	3644
YBR024W	NC_001134.8	289445	290350	+	906	1853
YBR025C	NC_001134.8	290681	291865	-	1185	20551
YBR026C	NC_001134.8	292877	294019	-	1143	5846
YBR027C	NC_001134.8	294024	294356	-	333	77
YBR028C	NC_001134.8	294425	296002	-	1578	3191
YBR029C	NC_001134.8	296369	297742	-	1374	2554
YBR030W	NC_001134.8	298292	299950	+	1659	1858
YBR031W	NC_001134.8	300166	301254	+	1089	7739
YBR032W	NC_001134.8	301519	301821	+	303	81
YBR033W	NC_001134.8	301944	304703	+	2760	2715
YBR034C	NC_001134.8	304930	305976	-	1047	7593
YBR035C	NC_001134.8	306269	306955	-	687	5807
YNCB0009C	NC_001134.8	307185	307345	-	161	13
YNCB0010W	NC_001134.8	307587	308887	+	1301	2558
YBR036C	NC_001134.8	309081	310313	-	1233	6916
YBR037C	NC_001134.8	310565	311452	-	888	1966
YBR038W	NC_001134.8	311898	314789	+	2892	1926
YBR039W	NC_001134.8	315575	316510	+	936	23561
YBR040W	NC_001134.8	316968	317864	+	897	820
YBR041W	NC_001134.8	318266	320275	+	2010	2326
YBR042C	NC_001134.8	320416	321609	-	1194	2725
YBR043C	NC_001134.8	321876	323945	-	2070	3751
YBR044C	NC_001134.8	324341	326059	-	1719	1909
YNCB0011C	NC_001134.8	326792	326865	-	74	2
YBR045C	NC_001134.8	328173	330092	-	1920	1358
YBR046C	NC_001134.8	330507	331511	-	1005	2126
YBR047W	NC_001134.8	331833	332360	+	528	858
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	11456
YBR049C	NC_001134.8	334386	336818	-	2433	4945
YBR050C	NC_001134.8	337183	338199	-	1017	4779
YBR052C	NC_001134.8	338720	339352	-	633	6297
YBR053C	NC_001134.8	339675	340751	-	1077	4414
YBR054W	NC_001134.8	343101	344135	+	1035	20977
YBR055C	NC_001134.8	344602	347301	-	2700	2579
YNCB0012W	NC_001134.8	347603	347686	+	84	1
YBR056W	NC_001134.8	347879	349384	+	1506	6116
YNCB0013W	NC_001134.8	350827	350898	+	72	3
YBR056W-A	NC_001134.8	351255	351455	+	201	915
YBR057C	NC_001134.8	352193	353293	-	1101	3330
YBR058C	NC_001134.8	353672	356017	-	2346	3311
YBR058C-A	NC_001134.8	356324	356566	-	243	3726
YBR059C	NC_001134.8	356861	360187	-	3327	5000
YBR060C	NC_001134.8	360652	362514	-	1863	1867
YBR061C	NC_001134.8	364787	365719	-	933	1870
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	1891
YBR063C	NC_001134.8	366970	368184	-	1215	1937
YBR065C	NC_001134.8	368584	369678	-	1095	1380
YBR066C	NC_001134.8	370037	370699	-	663	13518
YBR067C	NC_001134.8	372103	372735	-	633	145424
YBR068C	NC_001134.8	373861	375690	-	1830	25243
YBR069C	NC_001134.8	376574	378433	-	1860	122
YNCB0014W	NC_001134.8	376610	378633	+	2024	167
YBR070C	NC_001134.8	379221	379934	-	714	872
YBR071W	NC_001134.8	380411	381046	+	636	5776
YBR072W	NC_001134.8	382030	382674	+	645	169491
YBR072C-A	NC_001134.8	382860	383021	-	162	31
YBR073W	NC_001134.8	383112	385988	+	2877	3294
YBR074W	NC_001134.8	386286	389216	+	2931	2006
YBR076W	NC_001134.8	390227	391291	+	1065	995
YBR077C	NC_001134.8	391805	392293	-	489	2095
YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	33429
YBR079C	NC_001134.8	395383	398277	-	2895	12309
YBR080C	NC_001134.8	398614	400890	-	2277	4134
YBR081C	NC_001134.8	401253	405251	-	3999	2798
YNCB0015W	NC_001134.8	405878	405949	+	72	1
YNCB0016W	NC_001134.8	405960	406031	+	72	0
YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	10622
YBR083W	NC_001134.8	409169	410629	+	1461	1280
YBR084W	NC_001134.8	411054	413981	+	2928	3103
YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	25733
YBR085W	NC_001134.8	415983	416906	+	924	1605
YBR085C-A	NC_001134.8	418907	419164	-	258	12789
YBR086C	NC_001134.8	420201	423041	-	2841	5421
YBR087W	NC_001134.8	423765	424829	+	1065	1702
YBR088C	NC_001134.8	424990	425766	-	777	3449
YBR089C-A	NC_001134.8	426190	426489	-	300	2040
YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	77
YBR091C	NC_001134.8	427155	427484	-	330	796
YBR092C	NC_001134.8	427698	429101	-	1404	3593
YBR093C	NC_001134.8	429548	430951	-	1404	2095
YBR094W	NC_001134.8	432036	434297	+	2262	2658
YBR095C	NC_001134.8	434406	435698	-	1293	1916
YBR096W	NC_001134.8	436021	436713	+	693	1634
YBR097W	NC_001134.8	436951	441315	+	4365	1086
YBR098W	NC_001134.8	441515	443590	+	2076	1471
YBR101C	NC_001134.8	443821	444693	-	873	5480
YBR102C	NC_001134.8	445062	447323	-	2262	2043
YBR103W	NC_001134.8	447709	449316	+	1608	2945
YBR104W	NC_001134.8	449667	450656	+	990	2035
YBR105C	NC_001134.8	450881	451969	-	1089	19507
YBR106W	NC_001134.8	452658	453224	+	567	21878
YBR107C	NC_001134.8	453793	454530	-	738	911
YBR108W	NC_001134.8	454822	457665	+	2844	1470
YBR109C	NC_001134.8	457919	458362	-	444	8506
YBR110W	NC_001134.8	458872	460221	+	1350	2199
YBR111C	NC_001134.8	461178	461873	-	696	7723
YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	1809
YBR112C	NC_001134.8	462870	465770	-	2901	3710
YBR114W	NC_001134.8	467248	469620	+	2373	1579
YBR115C	NC_001134.8	469748	473926	-	4179	0
YBR117C	NC_001134.8	474392	476437	-	2046	5886
YBR118W	NC_001134.8	477671	479047	+	1377	18167
YBR119W	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	1574
YBR120C	NC_001134.8	480435	480923	-	489	904
YBR121C	NC_001134.8	481364	483367	-	2004	16312
YBR122C	NC_001134.8	483970	484503	-	534	3427
YBR123C	NC_001134.8	484742	486691	-	1950	1981
YBR125C	NC_001134.8	487199	488380	-	1182	2597
YBR126C	NC_001134.8	488905	490392	-	1488	14666
YBR126W-A	NC_001134.8	490850	491056	+	207	3987
YBR127C	NC_001134.8	491269	492822	-	1554	24722
YBR128C	NC_001134.8	493081	494115	-	1035	1170
YBR129C	NC_001134.8	494353	495339	-	987	3359
YBR130C	NC_001134.8	495592	496869	-	1278	2440
YBR131W	NC_001134.8	497163	499277	+	2115	1306
YBR132C	NC_001134.8	499652	501442	-	1791	1808
YBR133C	NC_001134.8	501804	504287	-	2484	1856
YBR135W	NC_001134.8	504854	505306	+	453	2518
YBR136W	NC_001134.8	505668	512774	+	7107	995
YBR137W	NC_001134.8	513044	513583	+	540	1782
YBR138C	NC_001134.8	513762	515336	-	1575	786
YBR139W	NC_001134.8	515664	517190	+	1527	3648
YBR140C	NC_001134.8	517350	526628	-	9279	4049
YBR141C	NC_001134.8	527025	528038	-	1014	1118
YBR142W	NC_001134.8	528317	530638	+	2322	1569
YBR143C	NC_001134.8	530869	532182	-	1314	11745
YBR144C	NC_001134.8	533235	533549	-	315	29
YBR145W	NC_001134.8	533762	534817	+	1056	4685
YBR146W	NC_001134.8	535260	536096	+	837	3387
YBR147W	NC_001134.8	536575	537465	+	891	2275
YBR148W	NC_001134.8	537876	539705	+	1830	1008
YBR149W	NC_001134.8	539987	541021	+	1035	7663
YBR150C	NC_001134.8	541209	544493	-	3285	2345
YBR151W	NC_001134.8	545028	545978	+	951	5157
YBR152W	NC_001134.8	546376	547251	+	876	626
YBR153W	NC_001134.8	547460	548194	+	735	1149
YBR154C	NC_001134.8	548362	549009	-	648	4206
YBR155W	NC_001134.8	549771	550928	+	1158	2172
YBR156C	NC_001134.8	551104	553200	-	2097	699
YBR157C	NC_001134.8	553543	554310	-	768	7622
YBR158W	NC_001134.8	556549	558198	+	1650	4212
YBR159W	NC_001134.8	558685	559728	+	1044	3421
YBR160W	NC_001134.8	560078	560974	+	897	2098
YBR161W	NC_001134.8	561634	562764	+	1131	2181
YBR162C	NC_001134.8	563203	564570	-	1368	14695
YBR162W-A	NC_001134.8	565231	565428	+	198	2813
YBR163W	NC_001134.8	565723	567480	+	1758	1706
YBR164C	NC_001134.8	567875	568426	-	552	2232
YBR165W	NC_001134.8	568852	569685	+	834	1857
YBR166C	NC_001134.8	569842	571200	-	1359	2335
YBR167C	NC_001134.8	571468	571890	-	423	1011
YBR168W	NC_001134.8	572371	573612	+	1242	1161
YBR169C	NC_001134.8	573915	575996	-	2082	5818
YBR170C	NC_001134.8	576344	578086	-	1743	2414
YBR171W	NC_001134.8	578364	578984	+	621	3569
YBR172C	NC_001134.8	579150	581372	-	2223	4880
YBR173C	NC_001134.8	581726	582172	-	447	3532
YBR175W	NC_001134.8	582408	583355	+	948	1110
YBR176W	NC_001134.8	583720	584658	+	939	1122
YBR177C	NC_001134.8	584807	586162	-	1356	1088
YBR179C	NC_001134.8	586547	589114	-	2568	2823
YBR180W	NC_001134.8	589741	591459	+	1719	544
YBR181C	NC_001134.8;NC_001134.8	591712;592769	592416;592774	-;-	711	5867
YBR182C	NC_001134.8	593506	594864	-	1359	741
YBR182C-A	NC_001134.8	595361	595555	-	195	39
YBR183W	NC_001134.8	596115	597065	+	951	538
YBR184W	NC_001134.8	597363	598934	+	1572	382
YBR185C	NC_001134.8	599123	599959	-	837	1525
YBR186W	NC_001134.8;NC_001134.8	600553;602217	602103;602360	+;+	1695	531
YBR187W	NC_001134.8	602634	603476	+	843	3919
YBR188C	NC_001134.8	603685	604107	-	423	964
YBR189W	NC_001134.8;NC_001134.8	604508;604928	604514;605508	+;+	588	28280
YBR191W	NC_001134.8;NC_001134.8	606270;606669	606280;607140	+;+	483	19275
YBR192W	NC_001134.8	607652	608785	+	1134	2258
YBR193C	NC_001134.8	609082	609753	-	672	1588
YBR194W	NC_001134.8	610038	610409	+	372	528
YBR195C	NC_001134.8	610614	611882	-	1269	2231
YBR196C	NC_001134.8	612236	613900	-	1665	44732
YBR196C-A	NC_001134.8	614024	614173	-	150	31
YBR196C-B	NC_001134.8	614526	614630	-	105	114
YBR197C	NC_001134.8	615203	615856	-	654	1538
YBR198C	NC_001134.8	616127	618523	-	2397	3734
YBR199W	NC_001134.8	618909	620303	+	1395	8551
YBR200W	NC_001134.8	620872	622527	+	1656	3407
YBR200W-A	NC_001134.8	622983	623147	+	165	493
YBR201W	NC_001134.8	623576	624211	+	636	1739
YBR201C-A	NC_001134.8	624493	624696	-	204	13516
YBR202W	NC_001134.8	625772	628309	+	2538	7100
YBR203W	NC_001134.8	629168	631942	+	2775	3317
YBR204C	NC_001134.8	632254	633381	-	1128	2475
YBR205W	NC_001134.8	633622	634836	+	1215	2200
YBR207W	NC_001134.8	635146	636543	+	1398	3247
YBR208C	NC_001134.8	636703	642210	-	5508	2741
YBR209W	NC_001134.8	642583	642900	+	318	309
YNCB0017C	NC_001134.8	643007	643078	-	72	4
YNCB0018W	NC_001134.8	645167	645238	+	72	0
YBR210W	NC_001134.8	645550	645978	+	429	833
YBR211C	NC_001134.8	646158	647132	-	975	1021
YBR212W	NC_001134.8	647886	649904	+	2019	4649
YBR213W	NC_001134.8	650368	651192	+	825	392
YBR214W	NC_001134.8	651415	652998	+	1584	7355
YBR215W	NC_001134.8;NC_001134.8	653356;653453	653368;655317	+;+	1878	2389
YBR216C	NC_001134.8	655576	657600	-	2025	2024
YBR217W	NC_001134.8	657832	658392	+	561	969
YBR218C	NC_001134.8	658707	662249	-	3543	9421
YBR219C	NC_001134.8;NC_001134.8	662499;663003	662581;663303	-;-	384	11
YBR220C	NC_001134.8	662995	664677	-	1683	1555
YBR221C	NC_001134.8	665153	666253	-	1101	15671
YBR221W-A	NC_001134.8	666538	666642	+	105	50
YBR222C	NC_001134.8	666720	668351	-	1632	6002
YBR223C	NC_001134.8	668663	670297	-	1635	1096
YBR225W	NC_001134.8	670627	673329	+	2703	1791
YBR227C	NC_001134.8	673572	675134	-	1563	2342
YBR228W	NC_001134.8	675313	676227	+	915	1422
YBR229C	NC_001134.8	676357	679221	-	2865	2822
YBR230C	NC_001134.8;NC_001134.8	679549;680040	679942;680050	-;-	405	4889
YBR230W-A	NC_001134.8	680362	680562	+	201	2362
YNCB0019C	NC_001134.8	680688	681862	-	1175	3682
YBR231C	NC_001134.8	682179	683090	-	912	1758
YBR233W	NC_001134.8	683428	684669	+	1242	1128
YBR233W-A	NC_001134.8	684977	685261	+	285	784
YBR234C	NC_001134.8	685438	686592	-	1155	6215
