"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment_SRR1166444.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YNCA0004W","NC_001133.9","166267","166339","+",73,7,0.00344187860507436,3.08419368056471
"YAR014C","NC_001133.9","166742","168871","-",2130,4225,0.0711979482743165,63.7989561320033
"YAR015W","NC_001133.9","169375","170295","+",921,9684,0.377411839001462,338.190663407627
"YAR018C","NC_001133.9","170396","171703","-",1308,1356,0.0372110833725536,33.3440546146504
"YAR019C","NC_001133.9","172211","175135","-",2925,1253,0.0153760778572672,13.7781739569022
"YAR020C","NC_001133.9","176856","177023","-",168,251,0.0536271612931781,48.0541503477781
"YAR023C","NC_001133.9","179281","179820","-",540,557,0.0370238693018329,33.1762960966776
"YNCA0005W","NC_001133.9;NC_001133.9","181141;181211","181178;181254","+;+",82,0,0,0
"YNCA0006C","NC_001133.9","182522","182603","-",82,2,0.000875460411743652,0.784481319446772
"YAR027W","NC_001133.9","183770","184477","+",708,2278,0.115489055841855,103.487268748149
"YAR028W","NC_001133.9","184892","185596","+",705,2023,0.102997606994686,92.2939490480477
"YAR029W","NC_001133.9","186321","186545","+",225,453,0.072266338788066,64.7563179825995
"YAR031W","NC_001133.9","186836","187732","+",897,381,0.01524589419381,13.6615191650814
"YAR033W","NC_001133.9","188107","188811","+",705,290,0.0147648571569249,13.2304721818753
"YAR035W","NC_001133.9","190193","192256","+",2064,9471,0.164704897259975,147.588529862256
"YAR035C-A","NC_001133.9","192337","192417","-",81,40,0.0177253712995011,15.8833254801569
"YAR042W","NC_001133.9","192619","196185","+",3567,2726,0.0274310929013011,24.5804146759989
"YAR050W","NC_001133.9","203403","208016","+",4614,367,0.00285501794874441,2.55832041909744
"YAR061W","NC_001133.9","218140","219145","+",1006,0,0,0
"YAR064W","NC_001133.9","220198","220497","+",300,17,0.00203398635661775,1.822611598848
"YAR066W","NC_001133.9","221049","221660","+",612,4,0.000234600502493397,0.210220484296194
"YAR068W","NC_001133.9","222406","222891","+",486,7,0.000516989996235449,0.463263659837908
"YAR071W","NC_001133.9","225460","226863","+",1404,146,0.00373255414864494,3.34466180784072
"YBL113C","NC_001134.8","280","2658","-",2379,292,0.00440563768364649,3.94779754368085
"YBL112C","NC_001134.8","2582","2899","-",318,0,0,0
"YBL111C","NC_001134.8;NC_001134.8","2907;4216","4116;5009","-;-",2004,0,0,0
"YBL108C-A","NC_001134.8","7605","7733","-",129,0,0,0
"YNCB0001W","NC_001134.8","9583","9666","+",84,10,0.00427308058112973,3.82901596396639
"YBL107C","NC_001134.8","9961","10551","-",591,2243,0.136226676556991,122.069806396419
"YBL106C","NC_001134.8","10847","13879","-",3033,2733,0.0323435428674947,28.9823558483248
"YBL105C","NC_001134.8","14241","17696","-",3456,3355,0.0348448949471638,31.2237638589412
"YBL104C","NC_001134.8","18177","21293","-",3117,2018,0.0232383200342786,20.8233607341633
"YBL103C","NC_001134.8","22076","23536","-",1461,2988,0.0734092430676874,65.7804500224402
"YBL102W","NC_001134.8","24098","24745","+",648,3817,0.211430444531862,189.458291742996
"YBL101C","NC_001134.8","24946","28299","-",3354,2113,0.0226129283991019,20.2629606880239
"YBL100W-C","NC_001134.8","28427","28546","+",120,35,0.0104690474237678,9.38108911171765
"YBL100W-B","NC_001134.8","29935","35248","+",5314,499,0.00337053905981622,3.02026784240902
"YBL100W-A","NC_001134.8","29935","31251","+",1317,0,0,0
"YNCB0002W","NC_001134.8;NC_001134.8","36398;36453","36434;36488","+;+",73,0,0,0
"YBL099W","NC_001134.8","37053","38690","+",1638,8713,0.190930005658376,171.088287661739
"YBL098W","NC_001134.8","39145","40527","+",1383,5699,0.147909764531894,132.538771236886
"YBL097W","NC_001134.8","40831","43095","+",2265,337,0.00534050177000531,4.78550922330951
"YBL095W","NC_001134.8","43277","44089","+",813,788,0.0347901291299064,31.174689383378
"YBL093C","NC_001134.8","44256","44918","-",663,6865,0.371661334527039,333.037759544624
"YBL092W","NC_001134.8","45978","46370","+",393,27751,2.53458263953746,2271.18520339609
"YBL091C-A","NC_001134.8;NC_001134.8","46565;47147","47058;47180","-;-",528,1586,0.107817592299323,96.6130346180791
"YBL091C","NC_001134.8","47363","48628","-",1266,7634,0.216440644639252,193.947824722688
"YBL090W","NC_001134.8","48825","49358","+",534,1726,0.11601653838474,103.959934554251
"YBL089W","NC_001134.8","49574","50953","+",1380,1205,0.0313421171320254,28.0849997009187
"YBL088C","NC_001134.8","51019","59382","-",8364,1848,0.0079306413769719,7.1064778349884
"YBL087C","NC_001134.8;NC_001134.8","59822;60698","60193;60739","-;-",414,7449,0.645829683309703,578.714143214781
"YBL086C","NC_001134.8","61202","62602","-",1401,1438,0.0368418236656547,33.0131689021719
"YBL085W","NC_001134.8","63876","66818","+",2943,3513,0.0428458000287711,38.3932034943516
"YBL084C","NC_001134.8","67169","69445","-",2277,1665,0.0262465107631447,23.5189360000149
"YBL082C","NC_001134.8","69751","71127","-",1377,1588,0.0413939553288349,37.092236562484
"YBL081W","NC_001134.8","71866","72972","+",1107,982,0.0318408194197136,28.5318761369159
"YBL080C","NC_001134.8","73070","74695","-",1626,1405,0.0310153118194914,27.7921564617044
"YBL079W","NC_001134.8","75259","79767","+",4509,2643,0.0210395911727162,18.8531269060125
"YBL078C","NC_001134.8","80378","80731","-",354,1481,0.150166191134142,134.560706774371
"YBL076C","NC_001134.8","81043","84261","-",3219,17244,0.192281457888912,172.299295052546
"YBL075C","NC_001134.8","84499","86448","-",1950,1988,0.03659334730277,32.79051455665
"YBL074C","NC_001134.8","86722","87789","-",1068,783,0.0263154546799686,23.5807151668537
"YNCB0003W","NC_001134.8","88190","88277","+",88,16,0.00652615943299813,5.84795165405775
"YBL072C","NC_001134.8","88523","89125","-",603,8003,0.476382581563121,426.876225507186
"YBL071C-B","NC_001134.8","89458","89556","-",99,54,0.0195784782989944,17.5438549621733
"YBL071W-A","NC_001134.8","89978","90226","+",249,861,0.12411497186732,111.216767300363
"YBL071C","NC_001134.8","90223","90531","-",309,607,0.070509978210564,63.1824808966725
"YBL069W","NC_001134.8","90741","92030","+",1290,1226,0.0341130953927957,30.5680139560554
"YBL068W","NC_001134.8","92414","93394","+",981,1716,0.0627868427407099,56.2619446595281
"YBL067C","NC_001134.8","93639","95882","-",2244,2411,0.0385651235121532,34.5573809753266
"YBL066C","NC_001134.8","96669","100115","-",3447,1010,0.0105172079055134,9.42424468763877
"YBL064C","NC_001134.8","100371","101156","-",786,6903,0.315235918718732,282.476153274534
"YBL063W","NC_001134.8","101886","105221","+",3336,763,0.00820954078554456,7.35639361998003
"YBL061C","NC_001134.8","105316","107406","-",2091,3340,0.057334074023996,51.3758354304357
"YBL060W","NC_001134.8","107932","109995","+",2064,1995,0.0346939362299283,31.0884929865062
"YBL059C-A","NC_001134.8;NC_001134.8","110125;110506","110420;110539","-;-",330,1003,0.109095631854952,97.7582584836655
"YBL059W","NC_001134.8;NC_001134.8","110594;110949","110879;111244","+;+",582,578,0.0356471835695895,31.9426775055835
"YBL058W","NC_001134.8","111437","112708","+",1272,6317,0.178255990770732,159.73137444399
"YBL057C","NC_001134.8","112801","113427","-",627,2548,0.145865388028765,130.706849250343
"YBL056W","NC_001134.8","113762","115168","+",1407,5606,0.143014267091422,128.152020859675
"YBL055C","NC_001134.8","115573","116829","-",1257,1566,0.0447174313416173,40.070332216706
"YBL054W","NC_001134.8","117589","119166","+",1578,1554,0.0353479624042047,31.6745518296778
"YBL052C","NC_001134.8","119379","121874","-",2496,2132,0.0306593531696058,27.4731895414588
"YBL051C","NC_001134.8","122753","124759","-",2007,2482,0.044388939920208,39.7759780914511
"YBL050W","NC_001134.8;NC_001134.8","125125;125271","125154;126119","+;+",879,4497,0.183634544182092,164.550980927915
"YBL049W","NC_001134.8","126828","127244","+",417,3283,0.282588963553791,253.221916166652
"YBL048W","NC_001134.8","127299","127610","+",312,1088,0.125168391176477,112.160713775262
"YBL047C","NC_001134.8","127895","132040","-",4146,7028,0.0608447097740255,54.5216409155688
"YBL046W","NC_001134.8","132424","133749","+",1326,1823,0.0493473133898611,44.2190703313801
"YBL045C","NC_001134.8","134143","135516","-",1374,4098,0.107054663362696,95.9293903426548
"YBL044W","NC_001134.8","135998","136366","+",369,50,0.0048636689541314,4.35822955248207
"YBL043W","NC_001134.8","136688","137461","+",774,1344,0.0623273521042922,55.8502049441795
"YBL042C","NC_001134.8","138341","140260","-",1920,3222,0.0602344121417499,53.9747662820612
"YBL041W","NC_001134.8","141247","141972","+",726,6311,0.312019637739782,279.594112793625
"YBL040C","NC_001134.8;NC_001134.8","142112;142847","142749;142868","-;-",660,3615,0.196600552919069,176.16954357849
"YBL039W-B","NC_001134.8","143393","143572","+",180,505,0.100702265695291,90.2371428841412
"YBL039C","NC_001134.8","143989","145728","-",1740,2930,0.0604419880820488,54.1607706351383
"YBL038W","NC_001134.8","146187","146885","+",699,2111,0.108400535188591,97.1353972524142
"YBL037W","NC_001134.8","147209","150286","+",3078,1475,0.017200607017608,15.4130954494943
"YBL036C","NC_001134.8","150447","151220","-",774,4950,0.229553863776969,205.69829945959
"YBL035C","NC_001134.8","151493","153610","-",2118,1414,0.0239631453779162,21.4728611962262
"YBL034C","NC_001134.8","153848","158389","-",4542,1114,0.00880356205327599,7.88868335191807
"YBL033C","NC_001134.8","158656","159693","-",1038,6422,0.222071750802434,198.993738316931
"YBL032W","NC_001134.8","160184","161329","+",1146,3139,0.0983166488054068,88.0994426976266
"YBL031W","NC_001134.8","161699","162715","+",1017,1070,0.0377644525695123,33.8399168968829
"YBL030C","NC_001134.8","163041","163997","-",957,2176,0.0816144995758847,73.133004593274
"YBL029C-A","NC_001134.8","164488","164772","-",285,1125,0.141686356111144,126.962108278885
"YBL029W","NC_001134.8","166134","167264","+",1131,4092,0.129865379486345,116.369584373319
"YBL028C","NC_001134.8","167518","167838","-",321,1187,0.132729071209746,118.935677176062
"YBL027W","NC_001134.8;NC_001134.8","168423;168809","168424;169376","+;+",570,23653,1.48946994715417,1334.68210983132
"YBL026W","NC_001134.8;NC_001134.8","170623;170805","170676;171038","+;+",288,1525,0.190063063348166,170.311439230588
"YBL025W","NC_001134.8","171481","171918","+",438,884,0.0724433496877555,64.9149336576
"YBL024W","NC_001134.8","172534","174588","+",2055,3095,0.0540591479066719,48.44124429742
"YBL023C","NC_001134.8","174920","177526","-",2607,1927,0.0265314540662181,23.7742675893867
"YBL022C","NC_001134.8","177874","181275","-",3402,4962,0.0523531502310265,46.9125363288919
"YBL021C","NC_001134.8","181660","182094","-",435,1101,0.0908486401069429,81.4075200945902
"YBL020W","NC_001134.8","182401","184125","+",1725,2292,0.0476920381521011,42.7358136527838
"YBL019W","NC_001134.8","184353","185915","+",1563,1369,0.0314387187784769,28.1715623667485
"YBL018C","NC_001134.8;NC_001134.8","185998;186428","186352;186474","-;-",402,1302,0.116253302735571,104.172094016686
"YBL017C","NC_001134.8","186844","191583","-",4740,7061,0.0534697604768352,47.913106848346
"YBL016W","NC_001134.8","192451","193512","+",1062,2538,0.0857802820388144,76.8658730122337
"YBL015W","NC_001134.8","194122","195702","+",1581,3670,0.0833210171758806,74.662178454874
"YNCB0004W","NC_001134.8","197494","197567","+",74,0,0,0
"YNCB0005C","NC_001134.8","197629","197699","-",71,0,0,0
"YBL014C","NC_001134.8","199064","201748","-",2685,1591,0.0212689601930913,19.0586595712597
"YBL013W","NC_001134.8","202056","203261","+",1206,315,0.00937526634964284,8.40097532392625
"YBL011W","NC_001134.8","203538","205817","+",2280,3758,0.0591619251406309,53.0137336568946
"YBL010C","NC_001134.8","206107","206949","-",843,1078,0.0458998805198647,41.1298995930112
"YBL009W","NC_001134.8","207194","209224","+",2031,1070,0.0189101173132418,16.9449510015411
"YBL008W-A","NC_001134.8","209409","209648","+",240,21,0.00314071422713035,2.81432673351529
"YBL008W","NC_001134.8","209653","212175","+",2523,1407,0.0200169182609021,17.9367316190749
"YBL007C","NC_001134.8","212632","216366","-",3735,6738,0.0647531305026714,58.0238929980526
"YBL006C","NC_001134.8","216587","217129","-",543,2301,0.152102782144213,136.296044489738
"YBL005W","NC_001134.8","217470","220400","+",2931,2709,0.0331752004339664,29.7275863765382
"YBL005W-B","NC_001134.8","221330","226598","+",5269,375,0.00255460311834478,2.28912512554453
"YBL005W-A","NC_001134.8","221330","222652","+",1323,0,0,0
"YNCB0006W","NC_001134.8","227075","227156","+",82,2,0.000875460411743652,0.784481319446772
"YBL004W","NC_001134.8","227636","235117","+",7482,1651,0.00792044783899219,7.09734362398709
"YBL003C","NC_001134.8","235394","235792","-",399,16997,1.52904317131499,1370.14282820077
"YBL002W","NC_001134.8","236492","236887","+",396,16930,1.53455387778692,1375.08085421108
"YBL001C","NC_001134.8","237153","237467","-",315,6276,0.715142766057871,640.824111729414
"YBR001C","NC_001134.8","238941","241283","-",2343,2932,0.0449171348768792,40.2492822762848
"YBR002C","NC_001134.8","241708","242568","-",861,2686,0.111975555521117,100.338896382573
"YBR003W","NC_001134.8","242809","244230","+",1422,3111,0.0785273213630904,70.3666503352709
"YBR004C","NC_001134.8","244366","245667","-",1302,1277,0.0352046703361462,31.5461508773231
"YBR005W","NC_001134.8","245906","246547","+",642,1632,0.0912442477735066,81.7620156492561
"YBR006W","NC_001134.8","247010","248503","+",1494,3796,0.0912002387162885,81.7225800759155
"YBR007C","NC_001134.8","248806","251016","-",2211,3829,0.0621608568879349,55.7010121477292
"YBR008C","NC_001134.8","252563","254209","-",1647,2412,0.0525658961980287,47.1031734321373
"YBR009C","NC_001134.8","255373","255684","-",312,23835,2.74208511368688,2457.12372503066
"YBR010W","NC_001134.8","256331","256741","+",411,25290,2.20865242416758,1979.12612000283
"YBR011C","NC_001134.8","257112","257975","-",864,46549,1.93382416082924,1732.85840103708
"YBR012W-B","NC_001134.8","259869","265140","+",5272,244,0.00166124923351356,1.48860984820666
"YBR012W-A","NC_001134.8","259869","261191","+",1323,0,0,0
"YBR013C","NC_001134.8","265492","265881","-",390,779,0.071695718181232,64.2449970815652
"YNCB0007W","NC_001134.8","266378","266450","+",73,1,0.000491696943582051,0.440599097223529
"YBR014C","NC_001134.8","266725","267336","-",612,2347,0.137651844838001,123.346869160792
"YBR015C","NC_001134.8","267710","269503","-",1794,3336,0.0667458045020344,59.8094854786241
"YBR016W","NC_001134.8","270247","270633","+",387,2756,0.255616342856294,229.052328610355
"YBR017C","NC_001134.8","270947","273703","-",2757,3723,0.0484704039281053,43.4332905492614
"YBR018C","NC_001134.8","274427","275527","-",1101,541,0.017637227423148,15.8043416409163
"YBR019C","NC_001134.8","276253","278352","-",2100,439,0.0075035295004638,6.72375203272497
"YNCB0008W","NC_001134.8","276805","280645","+",3841,185,0.00172881208619516,1.54915147305487
"YBR020W","NC_001134.8","279021","280607","+",1587,0,0,0
"YBR021W","NC_001134.8","281443","283344","+",1902,1179,0.0222496744707026,19.9374566249934
"YBR022W","NC_001134.8","283738","284271","+",534,1421,0.0955153540235897,85.5892624574689
"YBR023C","NC_001134.8","284428","287925","-",3498,3448,0.0353808140329836,31.7039894704263
"YBR024W","NC_001134.8","289445","290350","+",906,1354,0.0536427254939703,48.0680970946668
"YBR025C","NC_001134.8","290681","291865","-",1185,11866,0.359423411878276,322.071619239469
"YBR026C","NC_001134.8","292877","294019","-",1143,3882,0.121907287886214,109.238508981441
"YBR027C","NC_001134.8","294024","294356","-",333,89,0.0095932583857435,8.59631331730111
"YBR028C","NC_001134.8","294425","296002","-",1578,2885,0.0656234694569695,58.8037850892024
"YBR029C","NC_001134.8","296369","297742","-",1374,1870,0.0488512007047931,43.7745143828122
"YBR030W","NC_001134.8","298292","299950","+",1659,1687,0.0364996807107132,32.7065819301838
"YBR031W","NC_001134.8","300166","301254","+",1089,8260,0.272252913720023,243.960003346046
"YBR032W","NC_001134.8","301519","301821","+",303,119,0.0140969351448755,12.6319615761743
"YBR033W","NC_001134.8","301944","304703","+",2760,1458,0.0189613306134826,16.9908421427135
"YBR034C","NC_001134.8","304930","305976","-",1047,5949,0.203947157180499,182.752678266421
"YBR035C","NC_001134.8","306269","306955","-",687,7714,0.403035467632914,361.151448073811
"YNCB0009C","NC_001134.8","307185","307345","-",161,25,0.00557358336669095,4.99436864865181
"YNCB0010W","NC_001134.8","307587","308887","+",1301,2875,0.0793196741231998,71.0766606685536
"YBR036C","NC_001134.8","309081","310313","-",1233,6079,0.176965837439234,158.575295683369
"YBR037C","NC_001134.8","310565","311452","-",888,1789,0.0723132271857941,64.7983336712852
"YBR038W","NC_001134.8","311898","314789","+",2892,2272,0.0281987857104926,25.2683277555691
"YBR039W","NC_001134.8","315575","316510","+",936,5269,0.202056450094625,181.058456152529
"YBR040W","NC_001134.8","316968","317864","+",897,455,0.0182070389978571,16.3149375855959
"YBR041W","NC_001134.8","318266","320275","+",2010,2528,0.045144139679804,40.4526964169249
"YBR042C","NC_001134.8","320416","321609","-",1194,2451,0.0736816517893897,66.0245496419812
"YBR043C","NC_001134.8","321876","323945","-",2070,4312,0.0747702401511998,67.0000103515139
"YBR044C","NC_001134.8","324341","326059","-",1719,1977,0.0412810905146627,36.9911008204753
"YNCB0011C","NC_001134.8","326792","326865","-",74,1,0.000485052390290402,0.434645055369157
"YBR045C","NC_001134.8","328173","330092","-",1920,918,0.0171617598839623,15.37828536528
"YBR046C","NC_001134.8","330507","331511","-",1005,2761,0.0986099443480529,88.3622585499443
"YBR047W","NC_001134.8","331833","332360","+",528,2185,0.148538107928135,133.101816292877
"YBR048W","NC_001134.8;NC_001134.8","332831;333387","332875;333812","+;+",471,9065,0.690823766307228,619.03237705347
"YBR049C","NC_001134.8","334386","336818","-",2433,3864,0.0570053186477913,51.0812447809434
"YBR050C","NC_001134.8","337183","338199","-",1017,218,0.0076940660375268,6.89448774160791
"YBR052C","NC_001134.8","338720","339352","-",633,4853,0.275186389424755,246.588628079435
"YBR053C","NC_001134.8","339675","340751","-",1077,3255,0.108481494196146,97.2079428846508
"YBR054W","NC_001134.8","343101","344135","+",1035,10322,0.357967726735011,320.767210968611
"YBR055C","NC_001134.8","344602","347301","-",2700,2919,0.0388052691174328,34.7725703074334
"YNCB0012W","NC_001134.8","347603","347686","+",84,1,0.000427308058112973,0.382901596396639
"YBR056W","NC_001134.8","347879","349384","+",1506,4834,0.115213147971528,103.24003361649
"YNCB0013W","NC_001134.8","350827","350898","+",72,0,0,0
"YBR056W-A","NC_001134.8","351255","351455","+",201,332,0.0592873986301223,53.1261677627336
"YBR057C","NC_001134.8","352193","353293","-",1101,2725,0.0888381603106807,79.6059722208816
"YBR058C","NC_001134.8","353672","356017","-",2346,2605,0.0398565853692586,35.714632277712
"YBR058C-A","NC_001134.8","356324","356566","-",243,3474,0.513149499120557,459.822272650541
"YBR059C","NC_001134.8","356861","360187","-",3327,4349,0.0469198889562966,42.0439073006415
"YBR060C","NC_001134.8","360652","362514","-",1863,1524,0.0293624628917823,26.3110739475642
"YBR061C","NC_001134.8","364787","365719","-",933,1612,0.0620160016430455,55.5712104661051
"YBR062C","NC_001134.8;NC_001134.8","365976;366585","366502;366600","-;-",543,1228,0.0811743661334611,72.7386104447626
"YBR063C","NC_001134.8","366970","368184","-",1215,1859,0.0549191087429542,49.2118367793527
"YBR065C","NC_001134.8","368584","369678","-",1095,1402,0.0459572743268024,41.1813289538259
"YBR066C","NC_001134.8","370037","370699","-",663,12265,0.664009653018811,595.00482459065
"YBR067C","NC_001134.8","372103","372735","-",633,97694,5.53967836976344,4963.98710727227
"YBR068C","NC_001134.8","373861","375690","-",1830,20522,0.402521388722367,360.690792975493
"YBR069C","NC_001134.8","376574","378433","-",1860,91,0.00175609827753525,1.57360204454619
"YNCB0014W","NC_001134.8","376610","378633","+",2024,178,0.00315667494313497,2.82862878919098
"YBR070C","NC_001134.8","379221","379934","-",714,1125,0.0565554782796582,50.678152464261
"YBR071W","NC_001134.8","380411","381046","+",636,3321,0.187426989187779,167.949309649673
"YBR072W","NC_001134.8","382030","382674","+",645,36537,2.03326291413797,1821.96333754061
"YBR072C-A","NC_001134.8","382860","383021","-",162,17,0.00376664140114398,3.37520666453333
"YBR073W","NC_001134.8","383112","385988","+",2877,2927,0.0365176842655963,32.7227145300135
"YBR074W","NC_001134.8","386286","389216","+",2931,2068,0.0253253283490006,22.6934841737471
"YBR076W","NC_001134.8","390227","391291","+",1065,750,0.0252773780855561,22.650516969942
