"Geneid","Chr","Start","End","Strand","Length","X.scratch_tmp.grp.msc_appbio.group8.output.alignment_SRR1166447.theAlignmentAligned.sortedByCoord.out.bam","rpkm","normalized_rpkm"
"YAL030W","NC_001133.9;NC_001133.9","87286;87501","87387;87752","+;+",354,2437,0.256923313314584,209.839773328773
"YAL029C","NC_001133.9","87855","92270","-",4416,2728,0.023055075469555,18.8300226561595
"YAL028W","NC_001133.9","92900","94486","+",1587,1253,0.0294662854146142,24.0663199165298
"YAL027W","NC_001133.9","94687","95472","+",786,846,0.0401697439937858,32.8082721088448
"YAL026C","NC_001133.9","95630","99697","-",4068,2864,0.0262750357932253,21.4598958884859
"YNCA0001W","NC_001133.9","99305","99868","+",564,14,0.000926403481774094,0.756631596092015
"YAL025C","NC_001133.9","100225","101145","-",921,3667,0.148594428739212,121.363144676466
"YAL024C","NC_001133.9","101565","105872","-",4308,1167,0.0101098894890225,8.25716005054734
"YAL023C","NC_001133.9","106272","108551","-",2280,8608,0.140902486857983,115.080821285911
"YAL022C","NC_001133.9","108877","110430","-",1554,1490,0.0357838035458576,29.2260952423187
"YAL021C","NC_001133.9","110846","113359","-",2514,4270,0.0633889924163802,51.7723815273463
"YAL020C","NC_001133.9","113614","114615","-",1002,1498,0.0557950073034961,45.5700634340928
"YAL019W","NC_001133.9","114919","118314","+",3396,3154,0.0346613324914761,28.3093272441919
"YAL018C","NC_001133.9","118564","119541","-",978,648,0.0247279092383101,20.1962943826279
"YAL017W","NC_001133.9","120225","124295","+",4071,3629,0.0332687982023023,27.1719875616891
"YAL016W","NC_001133.9","124879","126786","+",1908,6613,0.129351479143615,105.646641066018
"YAL015C","NC_001133.9","126903","128102","-",1200,1363,0.0423902381756645,34.6218404837504
"YAL014C","NC_001133.9","128252","129019","-",768,2289,0.111233555557704,90.8489921901421
"YAL013W","NC_001133.9","129270","130487","+",1218,2782,0.0852434629527727,69.6218210523683
"YAL012W","NC_001133.9","130799","131983","+",1185,3854,0.121379293946905,99.135431503013
"YAL011W","NC_001133.9","132199","134076","+",1878,1887,0.0374996797786685,30.6275215088109
"YAL010C","NC_001133.9","134184","135665","-",1482,1178,0.029665271932854,24.2288403407927
"YAL009W","NC_001133.9","135854","136633","+",780,1301,0.0622492238461984,50.8414859409214
"YAL008W","NC_001133.9","136914","137510","+",597,3280,0.205045744077953,167.469241713633
"YAL007C","NC_001133.9","137698","138345","-",648,2630,0.151471870875788,123.713269302823
"YNCA0002W","NC_001133.9;NC_001133.9","139152;139219","139187;139254","+;+",72,0,0,0
"YAL005C","NC_001133.9","139503","141431","-",1929,25809,0.499332917428153,407.825607014586
"YAL003W","NC_001133.9;NC_001133.9","142174;142620","142253;143160","+;+",621,30744,1.84765132678005,1509.05237286665
"YNCA0003W","NC_001133.9","142367","142468","+",102,459,0.167943716910189,137.166499348681
"YAL002W","NC_001133.9","143707","147531","+",3825,3178,0.0310079960691696,25.3254980351552
"YAL001C","NC_001133.9;NC_001133.9","147594;151097","151006;151166","-;-",3483,3759,0.0402782040938783,32.8968559065743
"YAR002W","NC_001133.9","152257","153876","+",1620,2178,0.0501757771509455,40.9806084473837
"YAR002C-A","NC_001133.9","154065","154724","-",660,6029,0.340920090657081,278.443375277171
"YAR003W","NC_001133.9","155005","156285","+",1281,1658,0.0483043945939967,39.4521738086761
"YAR007C","NC_001133.9","156754","158619","-",1866,3758,0.0751616634689165,61.3876032573947
"YAR008W","NC_001133.9","158966","159793","+",828,1427,0.0643198293158455,52.5326340769103
"YAR009C","NC_001133.9","160597","164187","-",3591,35,0.000363750740546219,0.297090100387007
"YAR010C","NC_001133.9","164544","165866","-",1323,1,2.82092411035843e-05,0.023039640438176
"YNCA0004W","NC_001133.9","166267","166339","+",73,2,0.00102248838301485,0.835108063005669
"YAR014C","NC_001133.9","166742","168871","-",2130,3001,0.0525820651484067,42.9459222269579
"YAR015W","NC_001133.9","169375","170295","+",921,8701,0.352582526441201,287.968563356949
"YAR018C","NC_001133.9","170396","171703","-",1308,927,0.026449851439984,21.6026749738748
"YAR019C","NC_001133.9","172211","175135","-",2925,1177,0.015017645189234,12.2655247660701
"YAR020C","NC_001133.9","176856","177023","-",168,967,0.214816897158933,175.449741891765
"YAR023C","NC_001133.9","179281","179820","-",540,434,0.0299948860654412,24.4980496779126
"YNCA0005W","NC_001133.9;NC_001133.9","181141;181211","181178;181254","+;+",82,0,0,0
"YNCA0006C","NC_001133.9","182522","182603","-",82,2,0.00091026404829371,0.743449860968461
"YAR027W","NC_001133.9","183770","184477","+",708,2339,0.123295779614857,100.700703696348
"YAR028W","NC_001133.9","184892","185596","+",705,1099,0.0581781386554131,47.5164642345786
"YAR029W","NC_001133.9","186321","186545","+",225,343,0.0568935258273531,46.467268421331
"YAR031W","NC_001133.9","186836","187732","+",897,349,0.0145205889264601,11.8595585959841
"YAR033W","NC_001133.9","188107","188811","+",705,199,0.0105345310213168,8.60398214984635
"YAR035W","NC_001133.9","190193","192256","+",2064,6900,0.124764389177466,101.900177164718
"YAR035C-A","NC_001133.9","192337","192417","-",81,23,0.0105972715745799,8.65522492460813
"YAR042W","NC_001133.9","192619","196185","+",3567,3056,0.0319743325469606,26.1147445416048
"YAR050W","NC_001133.9","203403","208016","+",4614,410,0.00331632827304232,2.70858087622016
"YAR061W","NC_001133.9","218140","219145","+",1006,0,0,0
"YAR064W","NC_001133.9","220198","220497","+",300,9,0.00111962477940126,0.914443328991207
"YAR066W","NC_001133.9","221049","221660","+",612,5,0.000304908708987272,0.249031407677344
"YAR068W","NC_001133.9","222406","222891","+",486,6,0.000460750938025211,0.376314127156875
"YAR071W","NC_001133.9","225460","226863","+",1404,127,0.00337588668053087,2.75722466243787
"YBL113C","NC_001134.8","280","2658","-",2379,318,0.00498866021927423,4.0744427437187
"YBL112C","NC_001134.8","2582","2899","-",318,0,0,0
"YBL111C","NC_001134.8;NC_001134.8","2907;4216","4116;5009","-;-",2004,0,0,0
"YBL108C-A","NC_001134.8","7605","7733","-",129,0,0,0
"YNCB0001W","NC_001134.8","9583","9666","+",84,2,0.000888591094762907,0.725748673802545
"YBL107C","NC_001134.8","9961","10551","-",591,2230,0.140821390753797,115.014586782312
"YBL106C","NC_001134.8","10847","13879","-",3033,2203,0.0271077413893942,22.140000590918
"YBL105C","NC_001134.8","14241","17696","-",3456,4860,0.0524824115344342,42.8645310464628
"YBL104C","NC_001134.8","18177","21293","-",3117,2152,0.0257665760375523,21.0446160195602
"YBL103C","NC_001134.8","22076","23536","-",1461,2085,0.0532607270146391,43.5002131176515
"YBL102W","NC_001134.8","24098","24745","+",648,2721,0.156712912795825,127.993842499232
"YBL101C","NC_001134.8","24946","28299","-",3354,2935,0.0326585045472342,26.6735357840309
"YBL100W-C","NC_001134.8","28427","28546","+",120,50,0.0155503441583509,12.7006017915445
"YBL100W-B","NC_001134.8","29935","35248","+",5314,199,0.00139759961799555,1.14147674362847
"YBL100W-A","NC_001134.8","29935","31251","+",1317,0,0,0
"YNCB0002W","NC_001134.8;NC_001134.8","36398;36453","36434;36488","+;+",73,0,0,0
"YBL099W","NC_001134.8","37053","38690","+",1638,31024,0.70686282369037,577.323765539748
"YBL098W","NC_001134.8","39145","40527","+",1383,3740,0.100925444081965,82.4299361394822
"YBL097W","NC_001134.8","40831","43095","+",2265,384,0.00632723937145084,5.16771506008276
"YBL095W","NC_001134.8","43277","44089","+",813,1196,0.0549024697074174,44.8410914913277
"YBL093C","NC_001134.8","44256","44918","-",663,7012,0.394711360138846,322.37690411696
"YBL092W","NC_001134.8","45978","46370","+",393,38761,3.68089703769061,3006.33909033318
"YBL091C-A","NC_001134.8;NC_001134.8","46565;47147","47058;47180","-;-",528,1751,0.123766602823965,101.085244259066
"YBL091C","NC_001134.8","47363","48628","-",1266,5295,0.156093028091882,127.487557319864
"YBL090W","NC_001134.8","48825","49358","+",534,2225,0.155503441583509,127.006017915445
"YBL089W","NC_001134.8","49574","50953","+",1380,913,0.0246912421157815,20.1663468446612
"YBL088C","NC_001134.8","51019","59382","-",8364,2385,0.0106420576234338,8.69180352161657
"YBL087C","NC_001134.8;NC_001134.8","59822;60698","60193;60739","-;-",414,9850,0.887947188172499,725.222768966457
"YBL086C","NC_001134.8","61202","62602","-",1401,1695,0.0451526053077597,36.8779786495383
"YBL085W","NC_001134.8","63876","66818","+",2943,3505,0.0444476707645421,36.3022297894912
"YBL084C","NC_001134.8","67169","69445","-",2277,1666,0.0273063223903163,22.3021898126094
"YBL082C","NC_001134.8","69751","71127","-",1377,1119,0.0303282529206007,24.7703240169731
"YBL081W","NC_001134.8","71866","72972","+",1107,648,0.021846337159049,17.8427966632431
"YBL080C","NC_001134.8","73070","74695","-",1626,1302,0.0298842038290374,24.407650970614
"YBL079W","NC_001134.8","75259","79767","+",4509,3036,0.0251288595421175,20.5237668870947
"YBL078C","NC_001134.8","80378","80731","-",354,1891,0.199360683413163,162.826020256344
"YBL076C","NC_001134.8","81043","84261","-",3219,14262,0.165352475963765,135.050126934582
"YBL075C","NC_001134.8","84499","86448","-",1950,11685,0.223637872603483,182.654193149782
"YBL074C","NC_001134.8","86722","87789","-",1068,567,0.019813584579292,16.1825645299006
"YNCB0003W","NC_001134.8","88190","88277","+",88,14,0.00593740413318851,4.84932068404428
"YBL072C","NC_001134.8","88523","89125","-",603,10303,0.63767242134722,520.813135356352
"YBL071C-B","NC_001134.8","89458","89556","-",99,45,0.01696401180911,13.8552019544122
"YBL071W-A","NC_001134.8","89978","90226","+",249,741,0.111063180928559,90.7098402653928
"YBL071C","NC_001134.8","90223","90531","-",309,551,0.0665494340291365,54.3536433952702
"YBL069W","NC_001134.8","90741","92030","+",1290,780,0.0225660808251417,18.4306407393577
"YBL068W","NC_001134.8","92414","93394","+",981,1621,0.0616687654573376,50.3674018448776
"YBL067C","NC_001134.8","93639","95882","-",2244,2904,0.0482975395035839,39.4465749760913
"YBL066C","NC_001134.8","96669","100115","-",3447,1987,0.021513339490091,17.570823853646
"YBL064C","NC_001134.8","100371","101156","-",786,19574,0.929412020016977,759.088792267764
"YBL063W","NC_001134.8","101886","105221","+",3336,806,0.00901696215225238,7.36452161437763
"YBL061C","NC_001134.8","105316","107406","-",2091,2436,0.0434784945420289,35.5106639474347
"YBL060W","NC_001134.8","107932","109995","+",2064,1569,0.0283703371912239,23.1712141987598
"YBL059C-A","NC_001134.8;NC_001134.8","110125;110506","110420;110539","-;-",330,1602,0.181175646121295,147.973556873123
"YBL059W","NC_001134.8;NC_001134.8","110594;110949","110879;111244","+;+",582,822,0.0527108573120182,43.0511120521634
"YBL058W","NC_001134.8","111437","112708","+",1272,6907,0.202653258682508,165.515201083393
"YBL057C","NC_001134.8","112801","113427","-",627,1499,0.0892247498310735,72.8735008058384
"YBL056W","NC_001134.8","113762","115168","+",1407,5306,0.140742219367522,114.949924274517
"YBL055C","NC_001134.8","115573","116829","-",1257,885,0.026275999198359,21.4606827408438
"YBL054W","NC_001134.8","117589","119166","+",1578,1671,0.0395203423400826,32.2778792299178
"YBL052C","NC_001134.8","119379","121874","-",2496,2043,0.0305474549187604,24.9493552501207
"YBL051C","NC_001134.8","122753","124759","-",2007,2739,0.0509326070549752,41.5987423701531
"YBL050W","NC_001134.8;NC_001134.8","125125;125271","125154;126119","+;+",879,4996,0.212121554717054,173.24834553053
"YBL049W","NC_001134.8","126828","127244","+",417,3635,0.325326624550247,265.707554027421
"YBL048W","NC_001134.8","127299","127610","+",312,1383,0.165431738238456,135.114863674662
"YBL047C","NC_001134.8","127895","132040","-",4146,8145,0.0733184099390841,59.8821427450827
"YBL046W","NC_001134.8","132424","133749","+",1326,1736,0.0488604478894065,39.9063252671879
"YBL045C","NC_001134.8","134143","135516","-",1374,17087,0.464120053508719,379.065821505889
"YBL044W","NC_001134.8","135998","136366","+",369,26,0.00262965169507072,2.14774404279778
"YBL043W","NC_001134.8","136688","137461","+",774,2641,0.127344058673503,104.00709870223
"YBL042C","NC_001134.8","138341","140260","-",1920,7105,0.138106494056354,112.797219661155
"YBL041W","NC_001134.8","141247","141972","+",726,9934,0.510668161550603,417.083564288276
"YBL040C","NC_001134.8;NC_001134.8","142112;142847","142749;142868","-;-",660,3275,0.185190462249451,151.252621335667
"YBL039W-B","NC_001134.8","143393","143572","+",180,960,0.199044405226891,162.56770293177
"YBL039C","NC_001134.8","143989","145728","-",1740,3917,0.0840147559562212,68.6182858172138
"YBL038W","NC_001134.8","146187","146885","+",699,3567,0.190448335151374,155.546941083054
"YBL037W","NC_001134.8","147209","150286","+",3078,1863,0.0225889209879202,18.4492952340331
"YBL036C","NC_001134.8","150447","151220","-",774,2807,0.135348266829429,110.544462725164
"YBL035C","NC_001134.8","151493","153610","-",2118,1663,0.0293033680853683,23.9332586734715
"YBL034C","NC_001134.8","153848","158389","-",4542,1361,0.0111831008716066,9.13369566092054
"YBL033C","NC_001134.8","158656","159693","-",1038,9730,0.349837800371685,285.726833368158
"YBL032W","NC_001134.8","160184","161329","+",1146,2754,0.089687220548897,73.2512195474632
"YBL031W","NC_001134.8","161699","162715","+",1017,812,0.0297979456202499,24.3372003651544
"YBL030C","NC_001134.8","163041","163997","-",957,11962,0.466490825886378,381.002128226848
"YBL029C-A","NC_001134.8","164488","164772","-",285,2223,0.291102442644328,237.755265537714
"YBL029W","NC_001134.8","166134","167264","+",1131,7016,0.231514513771861,189.087367998889
"YBL028C","NC_001134.8","167518","167838","-",321,1096,0.127425623906935,104.073716362862
"YBL027W","NC_001134.8;NC_001134.8","168423;168809","168424;169376","+;+",570,29557,1.93524851489843,1580.59657748498
"YBL026W","NC_001134.8;NC_001134.8","170623;170805","170676;171038","+;+",288,2037,0.263967092088006,215.592715411469
"YBL025W","NC_001134.8","171481","171918","+",438,635,0.0541066769345359,44.1911350007166
"YBL024W","NC_001134.8","172534","174588","+",2055,3597,0.0653250662044824,53.353652139195
"YBL023C","NC_001134.8","174920","177526","-",2607,2289,0.0327684582540531,26.7633394714343
"YBL022C","NC_001134.8","177874","181275","-",3402,6060,0.0664797782007805,54.2967526326349
"YBL021C","NC_001134.8","181660","182094","-",435,1295,0.111104527917597,90.7436100416562
"YBL020W","NC_001134.8","182401","184125","+",1725,2652,0.0573767133327951,46.861907410332
"YBL019W","NC_001134.8","184353","185915","+",1563,1650,0.0393981848157834,32.178108185871
"YBL018C","NC_001134.8;NC_001134.8","185998;186428","186352;186474","-;-",402,1779,0.165158580643022,134.891764699449
"YBL017C","NC_001134.8","186844","191583","-",4740,7124,0.0560914692577679,45.8121960318802
"YBL016W","NC_001134.8","192451","193512","+",1062,1858,0.0652938744547252,53.3281765620108
"YBL015W","NC_001134.8","194122","195702","+",1581,10088,0.238135668872021,194.495136050249
"YNCB0004W","NC_001134.8","197494","197567","+",74,0,0,0
"YNCB0005C","NC_001134.8","197629","197699","-",71,0,0,0
"YBL014C","NC_001134.8","199064","201748","-",2685,1755,0.0243940594394689,19.923625603719
"YBL013W","NC_001134.8","202056","203261","+",1206,320,0.00990270672770603,8.08794541949105
"YBL011W","NC_001134.8","203538","205817","+",2280,3386,0.0554247003370274,45.2676185959682
"YBL010C","NC_001134.8","206107","206949","-",843,958,0.042412041861068,34.6396484449813
"YBL009W","NC_001134.8","207194","209224","+",2031,1209,0.0222160899113101,18.1447888519673
"YBL008W-A","NC_001134.8","209409","209648","+",240,9,0.00139953097425158,1.14305416123901
"YBL008W","NC_001134.8","209653","212175","+",2523,1479,0.0218777255745074,17.8684328653454
"YBL007C","NC_001134.8","212632","216366","-",3735,8396,0.0838944189902097,68.5200016975473
"YBL006C","NC_001134.8","216587","217129","-",543,2079,0.142891339249553,116.705198340867
"YBL005W","NC_001134.8","217470","220400","+",2931,1808,0.0230215125799782,18.8026104721495
"YBL005W-B","NC_001134.8","221330","226598","+",5269,126,0.000892469932337313,0.72891667902127
"YBL005W-A","NC_001134.8","221330","222652","+",1323,0,0,0
"YNCB0006W","NC_001134.8","227075","227156","+",82,1,0.000455132024146855,0.37172493048423
"YBL004W","NC_001134.8","227636","235117","+",7482,2893,0.0144305198556886,11.7859955037493
"YBL003C","NC_001134.8","235394","235792","-",399,12026,1.12486279006513,918.72142643678
"YBL002W","NC_001134.8","236492","236887","+",396,12441,1.17249594953966,957.625375082459
"YBL001C","NC_001134.8","237153","237467","-",315,9871,1.16950435952062,955.18202121399
"YBR001C","NC_001134.8","238941","241283","-",2343,2824,0.0449825064309171,36.7390519429673
"YBR002C","NC_001134.8","241708","242568","-",861,3097,0.134242274169791,109.641153305682
"YBR003W","NC_001134.8","242809","244230","+",1422,2634,0.0691301375748459,56.4614094834233
"YBR004C","NC_001134.8","244366","245667","-",1302,994,0.0284922434901397,23.2707800567655
"YBR005W","NC_001134.8","245906","246547","+",642,1787,0.103882112190553,84.8447678560378
"YBR006W","NC_001134.8","247010","248503","+",1494,3516,0.0878313414630709,71.7354472274227
"YBR007C","NC_001134.8","248806","251016","-",2211,2771,0.0467734096746706,38.2017558364938
"YBR008C","NC_001134.8","252563","254209","-",1647,1584,0.0358932534015705,29.3154874139258
"YBR009C","NC_001134.8","255373","255684","-",312,15348,1.8358975549413,1499.45258689712
"YBR010W","NC_001134.8","256331","256741","+",411,26942,2.44646640767468,1998.12912973894
"YBR011C","NC_001134.8","257112","257975","-",864,31397,1.3562059876104,1107.66887346979
"YBR012W-B","NC_001134.8","259869","265140","+",5272,113,0.000799934244261145,0.653338999595387
"YBR012W-A","NC_001134.8","259869","261191","+",1323,0,0,0
"YBR013C","NC_001134.8","265492","265881","-",390,918,0.0878474826914837,71.7486304285409
"YNCB0007W","NC_001134.8","266378","266450","+",73,1,0.000511244191507426,0.417554031502834
"YBR014C","NC_001134.8","266725","267336","-",612,2353,0.14349003844941,117.194180452958
"YBR015C","NC_001134.8","267710","269503","-",1794,3889,0.0809033958954201,66.0771108592866
"YBR016W","NC_001134.8","270247","270633","+",387,2504,0.241476352077585,197.22360859552
"YBR017C","NC_001134.8","270947","273703","-",2757,3729,0.0504785491764878,41.2278947383413
"YBR018C","NC_001134.8","274427","275527","-",1101,457,0.0154910240443953,12.652152629397
"YBR019C","NC_001134.8","276253","278352","-",2100,315,0.00559812389700631,4.57221664495604
"YNCB0008W","NC_001134.8","276805","280645","+",3841,205,0.0019918691293696,1.62684094804476
"YBR020W","NC_001134.8","279021","280607","+",1587,0,0,0
"YBR021W","NC_001134.8","281443","283344","+",1902,2833,0.0555888012625969,45.4016465305308
"YBR022W","NC_001134.8","283738","284271","+",534,1762,0.123144747896693,100.577349917759
"YBR023C","NC_001134.8","284428","287925","-",3498,3815,0.040702959152047,33.243770727096
"YBR024W","NC_001134.8","289445","290350","+",906,1526,0.0628604640679296,51.3407108182701
"YBR025C","NC_001134.8","290681","291865","-",1185,17598,0.554237886579562,452.668739904002
"YBR026C","NC_001134.8","292877","294019","-",1143,4899,0.159960390617871,130.646190397431
"YBR027C","NC_001134.8","294024","294356","-",333,82,0.00919011330439475,7.50594123896686
"YBR028C","NC_001134.8","294425","296002","-",1578,2855,0.0675227871818886,55.1486207070109
"YBR029C","NC_001134.8","296369","297742","-",1374,2501,0.0679325951791014,55.4833276517955
"YBR030W","NC_001134.8","298292","299950","+",1659,1825,0.0410551581757546,33.5314260680923
"YBR031W","NC_001134.8","300166","301254","+",1089,7458,0.255591111257258,208.751709446478
"YBR032W","NC_001134.8","301519","301821","+",303,64,0.00788294674165906,6.43832486858496
"YBR033W","NC_001134.8","301944","304703","+",2760,2521,0.0340890588027848,27.8419279273772
"YBR034C","NC_001134.8","304930","305976","-",1047,7309,0.260532872099453,212.787847551631
"YBR035C","NC_001134.8","306269","306955","-",687,5144,0.279444437905876,228.233696474079
"YNCB0009C","NC_001134.8","307185","307345","-",161,16,0.00370890196074952,3.02921185587149
"YNCB0010W","NC_001134.8","307587","308887","+",1301,2249,0.0645154017133856,52.6923660492243
"YBR036C","NC_001134.8","309081","310313","-",1233,6375,0.192960474957639,157.598708362232
"YBR037C","NC_001134.8","310565","311452","-",888,1734,0.0728764777583254,59.5211986663196
"YBR038W","NC_001134.8","311898","314789","+",2892,2007,0.0259000337973529,21.1536164279086
"YBR039W","NC_001134.8","315575","316510","+",936,23094,0.920819610238346,752.071019933153
"YBR040W","NC_001134.8","316968","317864","+",897,741,0.0308302475487304,25.1803235519318
"YBR041W","NC_001134.8","318266","320275","+",2010,2053,0.0381192317099634,31.1335348991534
"YBR042C","NC_001134.8","320416","321609","-",1194,2229,0.0696717932240484,56.903801795684
"YBR043C","NC_001134.8","321876","323945","-",2070,3457,0.0623275823251234,50.9054845140516
"YBR044C","NC_001134.8","324341","326059","-",1719,1781,0.038666894165477,31.580833215694
"YNCB0011C","NC_001134.8","326792","326865","-",74,2,0.00100867097243357,0.823822818910997
"YBR045C","NC_001134.8","328173","330092","-",1920,930,0.0180772750840829,14.7644495826705
"YBR046C","NC_001134.8","330507","331511","-",1005,1802,0.0669175407124735,54.6542911722108
"YBR047W","NC_001134.8","331833","332360","+",528,716,0.0506093018971783,41.3346858306631
"YBR048W","NC_001134.8;NC_001134.8","332831;333387","332875;333812","+;+",471,10865,0.860914595059782,703.144145045256
"YBR049C","NC_001134.8","334386","336818","-",2433,4625,0.0709448500442642,57.9435593449011
"YBR050C","NC_001134.8","337183","338199","-",1017,4010,0.147154879233008,120.187405744174
"YBR052C","NC_001134.8","338720","339352","-",633,5785,0.341075795094066,278.570545456247
"YBR053C","NC_001134.8","339675","340751","-",1077,3648,0.126412602762482,103.246340580623
"YBR054W","NC_001134.8","343101","344135","+",1035,17444,0.629009167532226,513.73750180105
"YBR055C","NC_001134.8","344602","347301","-",2700,2237,0.0309209954508719,25.2544410734979
"YNCB0012W","NC_001134.8","347603","347686","+",84,0,0,0
"YBR056W","NC_001134.8","347879","349384","+",1506,4877,0.12085900949845,98.710493924084
"YNCB0013W","NC_001134.8","350827","350898","+",72,1,0.000518344805278362,0.423353393051485
"YBR056W-A","NC_001134.8","351255","351455","+",201,719,0.133500865072887,109.035614186514
"YBR057C","NC_001134.8","352193","353293","-",1101,2812,0.0953189488245943,77.850882262285
"YBR058C","NC_001134.8","353672","356017","-",2346,3093,0.0492043114903113,40.1871727276187
"YBR058C-A","NC_001134.8","356324","356566","-",243,3625,0.556740716780463,454.712903647891
"YBR059C","NC_001134.8","356861","360187","-",3327,4453,0.0499517998464465,40.7976770263285
"YBR060C","NC_001134.8","360652","362514","-",1863,1601,0.0320722718164506,26.1947355468764
"YBR061C","NC_001134.8","364787","365719","-",933,1726,0.0690415280188131,56.3890384365425
"YBR062C","NC_001134.8;NC_001134.8","365976;366585","366502;366600","-;-",543,1565,0.107563706553897,87.851676480739
"YBR063C","NC_001134.8","366970","368184","-",1215,1724,0.0529556411436976,43.2510370145635
"YBR065C","NC_001134.8","368584","369678","-",1095,1247,0.0425014337873173,34.7126584856023
"YBR066C","NC_001134.8","370037","370699","-",663,11793,0.663837859400658,542.183518290262
"YBR067C","NC_001134.8","372103","372735","-",633,92075,5.42861777584893,4433.77406618564
"YBR068C","NC_001134.8","373861","375690","-",1830,23798,0.485333888892373,396.392028111708
"YBR069C","NC_001134.8","376574","378433","-",1860,133,0.00266863970717505,2.17958714616184
"YNCB0014W","NC_001134.8","376610","378633","+",2024,151,0.00278431063388654,2.27406032077853
"YBR070C","NC_001134.8","379221","379934","-",714,940,0.049133860533949,40.1296325514349
"YBR071W","NC_001134.8","380411","381046","+",636,5053,0.296512788800555,242.174116425187
"YBR072W","NC_001134.8","382030","382674","+",645,123344,7.13689916229816,5828.99731116752
"YBR072C-A","NC_001134.8","382860","383021","-",162,24,0.00552901125630253,4.5157695258825
"YBR073W","NC_001134.8","383112","385988","+",2877,2953,0.038306708070582,31.2866545071375
"YBR074W","NC_001134.8","386286","389216","+",2931,1833,0.0233398410172013,19.0626023204922
"YBR076W","NC_001134.8","390227","391291","+",1065,764,0.0267728742241804,21.8665008873015
"YBR077C","NC_001134.8","391805","392293","-",489,2023,0.154396791324387,126.102171407581
